price,bedrooms,bathrooms,sqft,status,address
3853331,4,5,3456,sold,"2187 Frederick Douglass Blvd #3D, New York, NY 10026"
1925000,0,1,1171,sold,"2094 Frederick Douglass Blvd #6Q, New York, NY 10026"
1925000,0,1,550,sold,"2094 Frederick Douglass Blvd #6P, New York, NY 10026"
770000,2,2,711,sold,"307 W 126th St #5A, New York, NY 10027"
6300000,0,1,2835,sold,"28 Bradhurst Ave, New York, NY 10030"
2400000,4,5,1623,sold,"162 W 128th St, New York, NY 10027"
610950,0,1,489,sold,"300 W 122nd St #7R, New York, NY 10027"
995000,2,2,1098,sold,"257 W 117th St #3D, New York, NY 10026"
1400000,0,1,4012,sold,"123 W 122nd St, New York, NY 10027"
945000,0,1,1200,sold,"2611-2623 Frederick Douglass Blvd #4K, New York, NY 10030"
1885000,4,2,1600,sold,"100 W 119th St #7A, New York, NY 10026"
2250000,5,4,3620,sold,"208 W 139th St, New York, NY 10030"
1850000,6,4,3960,sold,"49 Saint Nicholas Pl, New York, NY 10031"
750000,1,1,700,sold,"163 Saint Nicholas Ave #6E, New York, NY 10026"
1692000,2,2,1150,sold,"321 W 110th St #10D, New York, NY 10026"
2800000,6,4,3040,sold,"16 W 120th St, New York, NY 10027"
2600000,4,4,3800,sold,"144 W 120th St, New York, NY 10027"
1700000,3,2,1380,sold,"236 W 136th St, New York, NY 10030"
405000,1,1,600,sold,"303 W 149th St #5R, New York, NY 10039"
1870000,0,1,162,sold,"111 W 110th St #PK16, New York, NY 10026"
1870000,0,1,1422,sold,"111 W 110th St #5C, New York, NY 10026"
1875000,3,3,1605,sold,"40 W 116th St #B1102, New York, NY 10026"
972000,4,2,1524,sold,"100 W 119th St #3B, New York, NY 10026"
985000,3,2,1170,sold,"68 Bradhurst Ave #6D, New York, NY 10039"
6350000,5,7,7000,sold,"32 Mount Morris Park W, New York, NY 10027"
625000,1,1,625,sold,"106 W 116th St #12A, New York, NY 10026"
1820000,3,3,1305,sold,"300 W 122nd St #10P, New York, NY 10027"
9250000,3,4,2094,sold,"1 Central Park N #36-A, New York, NY 10023"
9250000,3,4,2094,sold,"1 Central Park N #36-A, New York, NY 10023"
774000,2,2,1125,sold,"2577 Frederick Douglass Blvd #2577D, New York, NY 10030"
1530000,0,1,1150,sold,"321 W 110th St #8D, New York, NY 10026"
645000,1,1,1236,sold,"29 W 138th St #1H, Manhattan, NY 10037"
1419950,0,1,4400,sold,"144 W 121st St, New York, NY 10027"
631000,0,1,126267,sold,"231-239 W 148th St #14, New York, NY 10039"
615000,2,1,670,sold,"220 W 111th St #4C, New York, NY 10026"
945000,2,2,999,sold,"1400 5th Ave #6K, New York, NY 10026"
1870000,2,3,1422,sold,"111 Central Park N #5C, New York, NY 10026"
1400000,3,3,1613,sold,"110 W 127th St #2, New York, NY 10027"
1180000,3,2,1208,sold,"68 Bradhurst Ave #3H, New York, NY 10039"
265000,1,1,827,sold,"409 Edgecombe Ave #6C, Manhattan, NY 10031"
1355000,3,2,1386,sold,"40 W 116th St #B803, New York, NY 10026"
510000,1,2,1331,sold,"555 Lenox Ave #1D, New York, NY 10037"
